,host_id,neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365
3278,5278115,0,12,1,200,1,1,1,320
3279,1500550,0,29,1,100,6,5,1,0
3283,10124193,1,28,1,499,1,6,1,0
3287,10134825,1,23,0,102,2,6,4,0
3288,3899946,1,2,1,120,5,8,1,0
3289,10150931,1,19,1,170,2,7,1,312
3290,10153235,1,8,1,235,1,0,1,0
3291,10153970,1,28,1,149,1,1,1,0
3292,9975193,0,16,1,180,3,6,1,0
3293,2052364,0,12,0,89,1,25,1,78
3294,579495,0,10,1,199,2,31,2,220
3295,3388950,0,6,0,72,5,62,6,140
3296,10176907,0,21,1,80,7,6,1,3
3303,151654,1,52,0,150,2,7,1,0
3304,1351409,0,12,0,100,3,15,1,358
3305,10200352,1,14,1,189,3,9,1,0
3306,6547579,1,19,1,1999,1,20,1,0
3308,8551260,0,12,0,100,4,3,2,0
3310,1472225,1,19,1,480,10,59,1,24
3311,10071119,1,28,0,100,1,1,1,0
3312,8219931,1,8,1,300,1,0,1,0
3314,10217559,0,16,1,175,1,0,1,0
3316,6638763,2,49,1,135,3,38,1,243
3318,4139790,0,12,1,350,5,0,1,365
3319,10226006,0,24,1,80,5,19,1,0
3320,1521508,1,8,0,80,3,38,1,344
3322,5586949,1,19,1,450,3,12,2,0
3323,10238618,1,28,1,275,2,2,1,0
3324,10239152,0,15,1,150,2,43,1,285
3325,10241822,0,15,0,50,5,3,1,0
3328,4113132,2,81,0,45,3,49,3,307
3329,10251511,1,8,1,120,2,5,1,0
3330,10252755,1,30,1,145,3,1,1,0
3332,1674102,1,19,1,137,7,6,1,0
3333,3185905,1,1,1,1500,1,0,1,0
3334,10262420,1,4,0,86,4,37,1,22
3335,10258336,0,21,1,90,3,0,1,0
3336,2719126,1,1,1,345,5,19,1,192
3337,10280728,1,51,1,150,1,0,1,0
3338,374305,1,7,1,250,5,7,1,314
3339,10294443,0,15,1,105,4,2,1,0
3340,10294707,0,3,1,130,2,15,1,0
3343,10304755,0,12,1,150,4,42,2,0
3345,10317189,1,8,1,1000,1,0,1,0
3347,10335193,0,10,1,150,1,3,1,0
3348,8481125,1,28,0,120,1,12,2,206
3351,1859395,0,12,2,175,1,7,1,0
3352,4803115,1,2,1,150,1,5,1,0
3353,7683195,1,27,1,162,2,18,1,247
3354,2933058,1,45,0,95,4,9,1,0
3355,10352213,1,45,0,55,2,19,2,0
3357,275744,1,1,1,175,2,4,1,0
3360,10363037,1,8,1,150,2,7,1,0
3361,10364678,1,18,0,45,2,36,2,188
3363,7127362,0,3,1,130,5,9,1,0
3364,8013034,0,21,0,79,1,13,2,315
3365,10373126,1,11,1,850,3,0,1,0
3369,10387304,1,19,1,300,2,17,2,169
3370,10390993,1,1,1,159,7,0,1,0
3371,10392717,1,1,0,500,5,0,1,0
3373,8214568,1,28,1,250,1,0,1,0
3374,4419367,0,17,1,200,4,20,1,279
3375,195168,1,7,1,250,3,16,1,0
3376,10398270,1,4,1,120,6,4,1,0
3377,323517,1,8,0,105,1,31,2,365
3378,10362054,2,56,1,100,3,1,1,0
3379,212572,1,19,1,175,4,0,1,0
3380,5772472,0,20,1,500,5,0,1,0
3381,10411521,1,19,1,120,5,0,1,0
3382,10417106,0,12,0,85,2,7,1,207
3384,10243387,2,56,1,149,3,19,2,291
3385,10417911,1,27,1,400,3,1,1,0
3386,10243387,2,25,0,72,3,26,2,307
3387,10419406,1,2,1,300,3,0,1,0
3388,9852787,1,2,1,115,7,57,1,125
3391,25100,1,8,0,100,3,11,1,0
3392,10437461,1,2,1,150,4,12,1,0
3396,10211848,0,6,1,75,4,1,1,0
3397,1415489,1,19,1,140,5,25,1,13
3399,10456845,2,56,1,100,1,2,2,0
3401,10468616,0,16,1,125,3,1,1,0
3402,3707465,0,10,1,250,4,11,1,0
3403,6447895,0,21,0,50,2,2,1,35
3404,1499286,1,1,1,395,5,37,2,350
3405,10478532,1,7,1,100,2,11,1,0
3406,620218,0,12,1,250,4,0,1,0
3408,4119331,1,23,1,100,7,0,1,0
3411,10490291,0,15,1,120,2,3,1,0
3413,1442412,1,26,1,345,1,56,1,0
3414,763439,2,39,0,50,1,1,1,0
3415,9446761,0,12,0,45,7,0,1,0
3416,10406601,1,1,1,250,1,0,1,0
3417,4836650,1,48,1,350,2,1,1,0
3419,4965107,0,13,1,120,2,4,1,42
3420,800720,1,11,1,1000,3,0,1,0
3421,10525320,1,28,1,125,5,54,2,274
3422,10526058,1,2,1,145,3,58,1,0
3423,10526877,1,19,1,150,1,0,1,0
3427,1584064,1,2,0,115,7,1,2,0
3429,10535116,1,8,1,199,5,8,1,9
3430,6145679,1,27,1,272,5,4,1,0
3431,10535719,1,4,0,75,7,7,3,328
3433,10545845,1,4,0,179,1,1,1,0
3434,9563358,1,1,1,106,7,3,1,4
3435,10547610,1,11,1,800,1,0,1,0
3436,10550207,1,8,0,100,2,0,1,0
3438,10552208,1,8,1,120,7,3,1,0
3439,6313448,4,136,1,80,1,1,1,0
3441,7455886,2,56,0,35,7,0,1,0
3442,617671,0,15,1,88,2,14,1,16
3443,9757249,2,39,0,50,1,0,1,0
3444,5164854,1,2,0,45,4,19,8,42
3445,10573163,1,28,1,75,3,2,1,0
3446,10575680,1,26,0,79,2,2,2,0
3448,10581418,0,12,0,45,1,17,1,354
3449,10581580,0,10,0,85,10,0,1,0
3451,10585956,1,7,1,599,1,0,1,0
3452,10590038,0,12,1,110,3,3,1,0
3455,3011547,0,38,1,400,5,34,3,333
3456,1939680,0,12,0,60,7,5,1,3
3457,1394669,1,5,1,175,2,31,1,33
3458,1468317,0,20,1,200,5,0,1,0
3459,1468247,1,19,0,100,5,2,1,0
3460,248739,0,15,1,50,3,9,1,0
3461,10607256,1,26,1,175,3,0,1,0
3463,10607636,0,20,0,54,4,4,1,0
3464,8109174,0,16,1,130,4,8,1,0
3465,5089,0,6,1,151,2,43,1,220
3466,10610482,1,45,1,80,1,1,1,0
3467,10621196,1,23,1,110,8,5,1,333
3468,7624316,0,21,1,60,3,14,1,0
3469,3389163,0,6,1,110,10,58,1,282
3470,4030621,0,20,0,73,2,19,1,0
3473,2707940,1,23,1,190,1,2,1,0
3474,318435,0,15,1,105,5,1,1,0
3476,9947836,4,99,0,65,4,26,2,7
3477,10638597,0,12,0,35,1,2,1,0
3478,10638711,0,12,1,700,3,1,1,0
3479,4690301,0,32,1,185,2,10,1,0
3481,14751,0,6,0,100,1,0,1,220
3482,10643695,0,12,1,575,1,0,1,0
3483,2657134,1,23,0,128,1,16,1,0
3485,10653693,1,9,1,169,3,2,1,0
3488,10657268,2,56,1,130,5,0,1,0
3489,10658486,1,11,1,239,4,52,1,84
3491,10661536,0,34,1,124,4,52,1,147
3492,8452639,0,22,0,69,1,64,3,362
3493,8956323,0,12,1,180,2,0,1,0
3494,1104548,0,12,1,225,2,28,1,0
3495,10666587,1,7,1,119,2,3,1,0
3496,10661984,1,14,1,220,7,55,1,13
3497,10672341,0,15,1,150,4,6,2,0
3498,2529788,0,29,0,75,1,0,1,188
3499,10677584,0,20,0,51,3,19,4,0
3500,10662294,1,28,1,150,9,9,1,0
3501,10099888,0,12,0,91,1,9,1,0
3503,9791461,0,13,1,100,4,45,1,190
3505,10642609,1,48,1,255,2,8,1,0
3506,10692401,2,39,1,94,7,27,1,0
3507,10694601,1,19,1,179,2,21,1,0
3510,2462590,0,21,1,350,2,6,2,99
3512,10545523,1,64,1,375,3,6,1,0
3513,9829662,1,8,0,150,3,10,1,42
3514,10717291,1,7,1,175,1,0,1,0
3515,7096230,0,16,1,170,2,24,1,0
3516,10720001,0,12,1,275,3,3,1,0
3517,5976214,0,21,0,30,3,2,1,0
3518,2977901,0,36,1,150,1,19,1,0
3519,4265753,1,1,1,140,3,2,1,0
3521,10725397,1,8,1,560,1,0,1,0
3522,6757150,1,71,1,240,4,0,1,0
3523,10643810,2,44,1,99,2,57,1,42
3524,10732706,1,68,1,195,3,3,1,0
3525,10575680,1,5,0,89,2,10,2,0
3527,10736013,1,11,1,156,1,0,1,0
3528,1534243,1,19,0,120,1,0,1,0
3529,10346860,1,8,1,400,1,0,1,0
3530,9265204,0,12,1,210,3,7,2,343
3534,4185342,1,8,1,300,3,4,1,0
3535,8013034,0,21,0,79,1,20,2,285
3536,2770596,0,24,0,100,4,0,2,0
3538,1834769,2,126,1,64,3,7,1,333
3541,10784618,0,6,0,55,5,8,1,270
3542,10768668,0,21,0,75,5,0,1,0
3543,10775192,0,20,0,70,1,0,2,0
3544,10777592,1,28,2,85,2,16,1,0
3546,514261,0,10,0,120,7,0,3,0
3547,10787148,0,22,1,50,10,4,1,0
3549,2715062,1,23,1,145,2,4,1,0
3550,5243832,0,12,0,100,5,44,1,41
3551,7579627,1,11,1,200,1,4,1,0
3553,4967515,1,8,1,200,6,4,2,364
3554,6854214,1,11,1,325,1,0,1,0
3559,10846328,0,12,0,60,4,0,2,0
3562,10852093,1,28,1,150,1,0,1,0
3563,8384058,1,2,1,98,8,37,1,170
3564,923915,1,19,1,250,4,34,2,239
3565,10859032,0,21,0,60,1,4,1,0
3566,407078,0,12,1,149,2,49,1,171
3567,3695778,0,12,0,95,5,0,1,0
3569,7978448,1,14,1,90,3,23,1,0
3570,10859726,2,56,0,47,5,11,3,162
3572,2382974,1,101,0,110,3,1,1,0
3574,7793849,1,52,1,210,5,25,1,0
3575,4074918,1,8,1,900,1,0,1,0
3577,6001762,0,6,0,60,7,0,1,365
3578,10906528,1,8,1,225,2,14,1,0
3579,1193933,0,21,1,200,7,0,1,0
3581,68428,1,30,0,62,2,4,2,336
3582,10928857,1,5,1,125,2,8,1,0
3583,10929586,1,27,0,106,1,1,1,0
3585,1580799,1,28,0,85,5,44,1,299
3586,8280182,1,30,0,300,2,0,1,365
3587,10932521,1,23,1,224,2,12,1,0
3588,6166889,0,12,0,145,1,52,1,291
3589,10945216,0,15,0,40,1,1,1,0
3594,7363831,1,27,1,900,1,0,1,0
3595,10454853,1,7,1,215,3,2,1,0
3596,10972334,0,21,0,99,2,8,2,88
3597,10974237,1,19,1,850,1,0,1,0
3598,5579700,1,68,1,2000,1,0,1,0
3599,9268805,2,39,0,60,1,10,2,184
3600,6542088,1,28,1,303,7,29,1,3
3601,10263977,1,8,1,750,3,0,1,0
3608,10995590,0,21,1,150,1,1,1,0
3610,11010011,0,21,1,130,5,9,1,0
3611,11012889,1,43,1,575,1,0,1,0
3612,11012377,0,33,1,125,5,2,1,196
3614,6326737,0,21,0,70,3,40,1,365
3615,11039974,1,8,1,599,1,5,2,0
3617,2090668,1,28,1,99,1,0,1,0
3618,10533538,1,28,1,100,6,29,1,128
3620,9949214,1,2,0,60,2,13,1,33
3621,11066377,0,24,0,100,2,13,1,365
3622,8258307,1,5,1,2000,1,0,1,0
3624,11073109,0,3,0,61,4,3,1,0
3625,11063639,0,12,0,99,1,0,1,0
3626,11079245,2,44,0,100,7,14,1,365
3627,10096792,1,8,1,340,6,1,1,365
3630,5716241,0,12,1,140,2,6,1,0
3631,824689,1,2,1,112,3,22,1,313
3632,377361,1,19,1,160,3,25,1,0
3635,6910298,1,7,1,850,1,0,1,0
3636,11147328,1,1,1,950,1,0,1,0
3637,10636508,1,77,1,1500,1,0,1,0
3638,11126880,1,14,1,160,4,8,1,0
3639,11155956,1,11,1,300,2,0,1,0
3641,11163727,0,16,1,250,1,0,1,0
3642,11165856,1,19,1,100,10,0,1,0
3644,11176329,1,28,1,675,5,3,1,0
3645,6959160,1,7,1,150,5,9,1,6
3646,11183488,1,28,1,300,1,0,1,0
3648,1587234,1,19,1,225,2,46,1,320
3650,11189753,0,13,1,285,8,23,4,364
3651,11192207,1,8,1,300,2,2,1,0
3652,396599,0,21,0,55,2,1,2,157
3655,7181895,1,28,1,325,2,3,1,0
3656,4173868,1,30,0,55,7,9,1,0
3657,5081260,1,48,0,208,2,38,1,313
3658,3579337,1,11,1,156,1,8,3,300
3659,11231506,0,6,1,85,4,9,1,1
3660,305591,0,13,1,200,2,4,1,0
3661,5392354,1,19,1,180,2,2,1,0
3662,1500487,0,12,1,250,10,0,1,0
3664,5149997,1,1,1,140,3,0,1,0
3665,4906960,1,9,1,160,6,65,1,7
3666,11265131,1,23,0,130,1,59,1,0
3670,11273539,1,14,1,900,1,0,1,0
3671,11276922,1,14,1,215,3,9,1,0
3672,6447944,1,8,1,155,1,21,1,0
3673,4618666,0,34,0,50,3,3,1,0
3674,11279303,0,20,1,225,5,0,1,0
3675,551055,1,2,0,65,2,2,2,114
3678,5278391,0,12,0,65,4,8,2,19
3681,11257635,1,8,1,395,3,1,1,340
3682,11306420,0,21,0,145,1,0,1,0
3683,1544485,1,11,1,185,7,19,1,0
3684,11312158,1,26,1,1500,1,0,1,0
3685,11313668,0,12,0,45,2,26,2,241
3686,10485182,1,8,1,60,1,0,1,0
3687,11330638,1,26,1,749,1,0,1,0
3688,12190039,1,30,0,55,2,17,2,34
3689,11339193,1,1,1,1000,3,0,1,0
3690,11340369,1,11,1,165,7,1,1,8
3691,1446751,1,14,1,285,2,47,1,194
3692,11111521,1,28,1,220,3,20,1,31
3693,11342593,4,59,0,75,2,11,1,365
3694,4028092,0,21,1,120,5,11,1,2
3695,11353904,1,8,1,4000,1,0,1,0
3696,11366961,1,68,1,650,1,0,1,0
3697,11371978,1,1,1,750,4,0,1,0
3698,11375556,0,21,1,100,3,10,1,10
3699,11386273,1,2,0,95,1,4,1,270
3700,11385753,1,43,2,1000,1,0,1,0
3702,112879,0,12,1,1200,1,0,1,0
3703,11395220,1,19,1,200,1,28,1,341
3706,11418277,2,56,1,65,4,2,1,0
3708,11313778,1,26,1,105,7,22,1,121
3709,5078978,1,26,1,420,2,2,1,0
3710,2261678,1,28,1,250,1,0,1,0
3711,249753,0,21,1,95,5,1,1,0
3712,11430355,0,79,1,290,2,25,1,195
3713,11430909,1,2,1,100,1,0,1,0
3714,11440643,1,14,1,395,3,0,1,0
3715,4660888,1,28,1,180,2,2,1,0
3716,11457317,1,8,1,380,3,11,1,43
3717,11457662,0,76,1,40,2,0,2,0
3718,11457662,0,76,1,45,2,28,2,0
3719,9644281,1,23,1,300,1,2,1,0
3720,1483320,1,53,1,5250,1,0,1,0
3721,11460768,1,8,1,1500,1,0,1,0
3722,11461795,1,8,0,125,2,0,1,0
3723,11461854,1,11,1,1500,1,0,1,0
3724,11443640,1,28,1,110,1,3,1,0
3726,2024924,0,16,0,45,5,42,2,221
3727,11483903,1,52,1,1000,1,0,1,0
3729,470870,1,8,1,375,1,0,1,0
3730,2675913,1,8,1,1000,1,0,1,0
3731,11492501,1,132,1,1500,1,0,1,0
3732,11490872,1,26,1,1550,2,0,1,0
3733,11494661,1,8,0,89,3,7,1,10
3734,4265028,1,19,0,129,5,1,1,0
3735,11505536,1,19,0,500,1,0,1,0
3736,11508018,1,28,1,500,3,0,1,0
3738,10036249,1,11,1,250,1,2,1,0
3739,11512483,1,28,1,175,2,5,1,0
3740,11512676,0,6,0,40,3,10,1,0
3741,11512908,1,28,1,400,2,0,1,0
3743,3672774,0,3,1,219,4,21,2,31
3746,7748022,1,26,1,100,1,5,1,0
3747,8312378,1,52,1,289,3,41,2,247
3748,11297009,1,8,0,67,1,21,4,331
3750,11523254,1,14,1,750,2,0,1,0
3751,11526701,0,12,0,75,4,3,1,0
3752,3312524,1,7,1,350,1,0,1,0
3753,11538076,1,101,1,425,2,0,1,0
3754,11539672,1,27,1,200,1,0,1,0
3755,11540028,1,14,1,1000,3,0,1,0
3756,10683147,0,12,0,100,7,0,1,0
3757,11503864,2,56,2,65,1,0,1,0
3758,11542120,1,52,0,1250,1,0,1,0
3760,9389685,1,5,1,175,1,15,1,0
3761,10416706,0,137,1,1485,2,6,1,260
3762,11552512,2,39,1,120,2,5,1,81
3764,11557572,1,26,1,369,2,1,1,0
3771,3619427,2,39,1,600,4,0,1,0
3772,1531465,1,26,1,400,1,0,1,0
3773,8568891,2,46,0,65,2,13,1,362
3774,11598359,0,3,1,6500,1,0,1,0
3775,11599506,1,8,1,150,2,48,1,0
3776,11600691,0,34,1,265,3,0,1,0
3777,11603608,1,52,1,199,3,8,1,0
3778,5175067,1,7,1,395,5,9,1,0
3779,8105524,1,8,1,150,1,0,1,0
3781,8730513,1,52,0,175,3,1,1,0
3782,11610321,1,26,1,2750,1,0,1,0
3784,9451697,1,1,1,1500,1,0,1,0
3785,11623750,1,52,1,2500,1,0,1,0
3786,11630571,1,8,1,350,1,7,1,365
3787,7009234,0,12,1,250,2,3,1,0
3788,1427243,1,19,1,3750,1,0,1,0
3789,7580102,1,1,0,250,3,6,2,170
3790,2044302,0,12,1,500,1,0,1,0
3792,11661229,1,8,1,800,7,0,1,0
3793,11668649,1,28,1,1600,1,0,1,0
3794,11669123,1,8,1,85,5,0,1,0
3795,11671329,0,21,0,49,4,2,1,0
3796,11674823,1,8,1,750,1,0,1,0
3798,11675431,1,11,0,100,5,8,1,0
3799,11691665,1,26,1,152,1,5,1,0
3800,9968385,0,12,1,250,1,0,1,0
3803,11706506,2,56,2,300,1,0,1,0
3804,11708656,1,28,1,1000,1,0,1,0
3805,11710466,1,28,1,135,2,3,1,0
3806,440396,1,28,1,75,2,14,1,0
3807,11721588,1,1,0,600,1,0,1,0
3808,6509406,1,7,1,800,1,0,1,0
3809,2321783,4,138,1,250,7,2,1,338
3810,10974421,1,7,1,200,1,8,1,0
3811,10674441,0,6,0,75,3,5,2,334
3812,11732741,1,43,1,1000,1,0,1,0
3813,11733037,0,38,1,900,1,0,1,365
3815,10149317,2,87,1,88,3,33,5,262
3816,11741773,1,7,1,425,1,0,1,0
3817,11747009,1,71,1,975,2,1,1,0
3818,11753837,0,16,1,305,10,8,1,30
3820,11764444,1,7,1,150,1,11,1,0
3821,7714918,0,21,0,49,4,4,2,8
3822,11774081,0,90,1,86,2,0,1,0
3824,11790431,2,139,1,86,1,52,1,53
3825,11793333,1,8,1,650,2,30,1,0
3826,11254580,1,19,1,350,1,0,1,0
3827,11796166,1,28,1,225,2,3,1,88
3828,5019619,1,9,0,75,1,4,1,0
3829,10973455,1,14,1,150,1,49,1,0
3830,7317241,1,2,0,199,3,1,1,0
3833,11774035,1,8,1,200,3,45,1,346
3834,11246260,0,36,1,175,7,32,1,24
3836,305132,0,12,1,200,3,13,1,0
3837,6165258,1,2,0,60,3,11,3,365
3838,11845040,1,43,0,130,7,0,1,157
3841,11861244,1,28,0,300,1,0,1,0
3844,11876825,0,21,0,128,3,52,1,219
3845,9754117,1,8,1,400,1,0,1,0
3847,3627104,1,23,1,180,5,13,1,0
3851,11915544,0,24,1,250,5,7,1,195
3852,11917311,0,15,1,80,2,17,1,0
3855,11976770,0,12,0,55,5,4,1,0
3856,11981562,0,6,0,60,2,0,1,0
3857,6771815,0,20,0,100,2,9,1,0
3858,10792303,0,12,0,73,10,19,1,13
3859,10672341,0,15,1,145,2,0,2,0
3864,6970733,1,52,1,200,2,26,1,0
3866,5535265,0,6,1,500,1,11,1,365
3868,10283677,0,22,0,55,3,8,1,0
3870,7881738,0,12,1,99,1,1,1,0
3872,12098551,1,26,1,200,3,4,2,0
3873,7708014,1,102,0,60,4,23,1,0
3875,2588427,1,27,0,150,3,30,2,4
3876,12120448,2,44,0,45,2,27,1,190
3877,12123995,1,7,1,200,2,53,2,223
3879,12140561,1,7,1,100,1,0,1,4
3881,12157737,0,15,0,38,3,0,1,0
3882,1226950,0,15,0,75,2,0,1,0
3887,8452639,0,22,0,200,1,30,3,362
3888,132244,1,23,1,400,7,0,1,365
3889,10510181,4,59,2,32,2,6,1,83
3890,173997,0,12,0,50,3,16,2,0
3891,12223914,1,23,0,75,1,0,1,0
3892,12245536,1,2,0,40,1,5,2,0
3895,2297544,0,12,1,179,5,22,1,336
3896,12290324,0,12,1,250,5,21,1,284
3897,12294891,1,11,1,400,5,8,1,35
3900,12320096,1,28,1,185,2,3,1,0
3901,1522929,1,19,0,125,3,13,1,0
3902,4183222,0,33,1,180,2,1,1,0
3903,8904815,0,22,2,30,5,34,2,288
3904,12346795,0,15,0,60,1,35,1,333
3906,12348871,0,0,1,200,2,13,2,0
3907,1473507,0,12,0,70,1,0,1,0
3909,571080,0,21,1,109,1,12,1,0
3911,12384418,1,14,1,159,2,43,1,25
3912,10434821,0,15,1,85,10,9,1,12
3914,12394900,1,77,1,110,10,1,1,0
3915,12399023,1,77,0,500,1,0,1,0
3916,9915185,1,2,0,65,2,2,1,0
3917,8351424,1,30,0,112,2,20,1,179
3919,2335233,1,8,1,220,5,0,1,0
3920,3053987,0,21,1,79,3,43,2,0
3921,377287,0,20,1,200,3,2,1,205
3922,2120259,0,15,0,55,4,21,4,129
3923,12446529,4,128,0,50,2,32,2,156
3926,1301613,0,22,1,79,2,8,1,6
3927,2102889,1,60,0,65,3,8,1,123
3928,3948178,1,7,1,123,2,8,1,0
3929,9872597,0,12,0,70,5,8,1,0
3930,3578009,2,25,0,100,2,37,2,97
3932,3540714,1,77,1,450,1,10,1,0
3933,5165749,1,27,1,650,5,0,2,83
3934,12386614,1,4,1,125,3,2,1,249
3935,12515888,0,20,0,75,1,35,2,306
3936,12515888,0,20,1,154,1,7,2,213
3939,10193030,1,2,0,80,3,3,2,178
3941,10232293,0,34,1,180,6,1,1,26
3942,6369087,0,15,1,100,5,7,1,0
3943,5696628,0,6,0,86,2,20,2,35
3944,6718172,0,16,1,189,7,13,1,33
3949,12575621,1,28,1,180,1,0,1,0
3950,12577771,0,6,0,18,1,0,1,0
3951,12579916,0,16,1,100,2,1,1,0
3952,4137875,0,20,0,145,2,21,1,64
3955,1262622,0,12,0,100,2,16,1,341
3957,12058474,0,13,1,132,3,5,1,0
3958,12608261,1,2,0,72,2,27,1,183
3959,1000014,2,56,1,125,1,13,1,0
3960,8778997,0,12,1,102,7,26,1,2
3963,12616627,1,64,1,250,1,2,1,0
3964,7801481,2,140,0,90,3,8,2,324
3965,12620213,1,8,1,200,4,0,1,0
3966,786862,0,12,0,90,1,2,1,0
3967,4665764,1,8,0,200,5,20,1,0
3968,12637520,0,38,1,160,7,7,1,0
3975,9089934,2,95,0,30,7,0,1,0
3977,2935265,1,27,1,400,1,18,2,30
3979,12718658,2,83,2,75,2,0,1,0
3980,6194434,1,43,0,169,8,15,1,60
3983,12732806,1,2,0,60,1,19,1,356
3984,12732385,1,23,1,180,6,55,1,97
3986,2498724,0,21,1,98,4,32,1,8
3987,9543143,0,35,1,90,7,21,1,0
3988,4543994,0,20,1,134,6,6,1,0
3989,598167,1,14,0,119,2,32,1,0
3990,12760201,1,28,1,141,1,20,1,0
3991,12773532,1,52,1,199,4,3,1,0
3993,12796040,1,7,1,150,5,3,1,0
3994,179679,0,12,1,175,2,46,3,14
3995,3030031,0,38,0,90,3,5,1,0
3996,12806055,0,24,0,45,2,3,1,151
3997,12834599,0,111,0,49,3,0,4,180
3999,3905432,1,2,0,100,6,13,2,308
4000,3034421,0,12,0,110,1,38,1,157
4001,12622830,1,28,1,600,1,0,1,0
4002,12851900,2,25,1,395,7,50,1,319
4003,12864943,2,56,0,70,3,1,2,0
4007,10440985,2,56,0,50,10,1,1,0
4008,9229424,1,64,1,145,2,52,1,0
4009,10264377,1,19,1,245,2,3,1,0
4011,808206,0,21,0,50,1,1,1,0
4012,12899510,2,49,1,150,1,1,1,0
4013,10149453,1,23,0,110,3,0,1,0
4014,6723969,0,15,1,60,1,2,1,0
4015,12921356,0,10,1,165,5,7,1,0
4017,918543,1,19,1,160,5,0,1,0
4018,8288419,0,111,0,38,1,40,4,280
4021,1091832,0,21,1,120,2,15,1,61
4022,7520792,1,43,1,175,2,45,1,0
4024,11825464,0,15,0,105,1,1,1,0
4025,1210541,0,33,1,275,2,3,1,0
4026,3237558,1,2,0,99,1,0,1,0
4027,4517005,1,26,1,210,1,32,1,0
4028,12967572,1,8,0,65,1,1,1,0
4029,4636483,0,79,0,52,3,5,1,281
4030,12972780,2,56,0,100,1,13,2,0
4031,9426702,1,101,0,91,2,26,1,0
4033,4358702,1,2,0,200,1,0,1,0
4034,7821383,0,29,1,550,1,24,1,0
4035,4096786,4,141,0,70,6,40,1,313
4039,7132792,1,68,1,130,6,2,1,0
4042,4912237,1,7,0,95,4,7,1,0
4043,2766490,0,15,0,50,7,1,1,0
4044,6754169,0,12,0,100,2,38,2,0
4048,13067214,0,3,1,595,4,22,1,0
4049,13132515,0,12,0,65,9,12,1,0
4050,13156191,1,4,2,55,1,10,1,0
4051,13156754,0,38,1,250,6,6,1,56
4052,10302140,0,12,1,85,10,40,1,324
4054,1676600,1,30,0,90,3,2,1,0
4058,7451917,0,90,1,125,5,0,2,213
4059,2920976,1,2,0,150,3,23,1,0
4060,13207016,2,62,1,140,2,14,1,0
4061,413336,1,4,1,120,7,0,1,6
4062,13225047,0,12,0,60,1,44,3,0
4063,4612212,0,21,0,36,10,2,1,0
4064,6970030,1,2,0,85,3,51,1,66
4065,2132620,0,15,0,85,1,4,1,0
4066,12508991,0,22,0,45,7,30,1,287
4068,13272957,0,6,0,30,1,1,1,0
4069,13304615,0,20,0,75,1,3,1,0
4070,13314076,1,1,1,99,6,15,1,0
4072,13322259,0,38,1,115,3,54,1,188
4073,8798158,0,21,1,175,5,16,1,0
4074,13345581,0,15,1,112,4,19,2,0
4075,13347139,1,2,1,450,7,6,1,0
4078,13322169,1,45,1,150,5,9,1,0
4079,13373889,3,110,0,129,1,40,2,86
4080,10331953,1,8,1,145,3,8,1,0
4082,10894722,1,8,1,90,5,0,1,0
4083,6222620,1,7,1,90,2,1,1,0
4085,13408910,4,80,0,41,2,12,2,0
4089,4691967,0,21,0,50,5,5,1,0
4091,3881345,0,29,1,100,5,10,1,0
4092,2818232,0,13,1,225,3,12,1,0
4093,4045120,0,22,0,70,1,7,1,176
4094,12360441,4,131,0,80,3,2,1,365
4096,10384906,0,111,0,31,1,60,5,158
4097,13486605,0,21,0,40,1,25,1,0
4098,9482259,1,2,1,290,4,12,1,359
4099,1821771,0,13,1,235,4,23,1,31
4100,13496782,0,12,1,200,1,2,1,0
4101,13497325,0,6,1,180,1,0,1,0
4102,7250500,0,10,1,110,1,5,1,85
4103,13499885,1,19,0,120,3,5,2,0
4105,4274857,1,23,0,105,3,21,3,20
4106,13501034,1,28,1,100,10,4,1,0
4107,13295673,1,7,0,102,2,6,1,0
4110,2687435,2,49,1,95,3,25,1,6
4111,9898029,0,54,0,67,5,50,5,300
4112,1570348,0,15,0,65,2,51,1,73
4117,7706697,0,33,0,150,4,0,2,257
4118,320285,1,19,1,160,10,18,1,281
4119,13574223,2,126,1,80,2,61,1,32
4120,9951993,1,8,1,159,2,1,1,0
4122,157795,0,15,2,45,4,11,2,0
4124,13596820,0,20,1,125,3,16,1,60
4125,9051298,1,2,2,100,1,0,2,0
4127,5907325,1,28,1,2300,3,32,1,139
4129,2294061,1,4,1,140,3,2,1,0
4130,3842134,0,20,0,52,5,7,3,342
4131,2319102,1,9,1,200,2,9,1,0
4132,13617251,0,12,1,94,2,0,1,0
4133,13617520,0,3,2,40,5,8,1,0
4134,13621509,2,87,0,55,2,12,1,89
4135,5352610,0,12,0,69,5,6,2,0
4136,13632182,1,68,1,200,3,6,1,0
4139,13664226,1,8,0,425,3,24,1,365
4140,13664245,4,142,0,40,3,46,2,292
4141,13670148,0,12,0,40,2,32,1,0
4142,706191,0,12,1,150,4,0,1,0
4143,8212880,1,30,0,65,3,1,1,0
4146,10846328,0,12,1,180,3,13,2,0
4148,11837926,1,1,0,140,7,49,3,296
4149,1273385,2,25,1,155,3,4,1,0
4151,4334757,0,6,0,45,2,53,1,365
4152,1602568,0,12,1,330,10,1,1,0
4156,5283121,0,6,1,65,1,1,1,98
4157,10264372,1,2,0,70,1,6,1,0
